CVDs,RSP,NO2,SO2,O3
178.0,32.97,37.13,11.05,41.74
181.0,39.99,39.06,9.44,54.43
190.0,38.68,32.12,8.28,49.19
164.0,22.17,24.97,5.97,16.24
109.0,24.24,26.34,5.73,7.55
102.0,32.19,38.75,6.5,29.05
188.0,43.26,41.74,11.66,39.11
154.0,47.9,40.0,9.66,43.18
156.0,43.26,34.27,8.67,35.47
150.0,22.16,26.94,6.78,12.64
156.0,26.86,33.06,9.26,11.24
96.0,29.56,38.33,12.49,2.43
104.0,39.33,45.24,9.03,52.49
179.0,46.74,50.71,13.52,25.18
138.0,29.67,48.78,11.39,43.54
170.0,36.55,51.89,13.48,26.74
167.0,33.95,50.45,11.97,52.66
128.0,42.73,56.54,13.96,66.52
97.0,58.3,54.03,13.24,85.36
114.0,63.75,53.96,12.11,90.99
198.0,68.06,66.33,16.66,83.36
189.0,56.0,66.75,15.39,52.74
168.0,71.51,87.7,33.99,31.92
176.0,108.26,91.23,53.57,95.18
173.0,93.69,81.08,36.39,66.68
117.0,57.65,55.16,10.49,71.18
122.0,31.39,36.92,5.96,45.3
192.0,37.35,41.31,7.93,32.49
151.0,60.19,63.55,18.53,60.49
173.0,54.52,59.89,14.67,18.36
184.0,44.79,52.68,12.15,45.68
166.0,49.99,58.66,13.74,61.11
140.0,55.05,55.79,13.45,75.11
126.0,49.0,38.47,8.38,49.74
168.0,56.18,41.29,9.58,30.68
154.0,78.32,53.09,13.21,63.93
180.0,70.59,52.93,11.27,92.68
173.0,66.51,65.44,14.63,64.8
169.0,89.15,82.64,22.12,77.05
106.0,99.6,62.19,13.92,72.11
95.0,78.37,51.67,9.48,53.61
133.0,28.59,47.58,7.97,50.05
181.0,41.06,56.65,10.56,58.36
195.0,40.12,53.51,10.48,68.24
125.0,53.5,74.62,22.34,63.49
169.0,65.81,65.12,15.23,62.8
115.0,92.47,55.06,9.84,63.3
109.0,65.26,50.58,9.99,81.74
185.0,72.91,82.02,22.13,52.95
165.0,55.64,67.79,14.01,61.11
187.0,47.49,55.46,12.35,42.18
169.0,39.9,46.81,13.47,29.55
152.0,38.01,44.45,14.96,33.93
123.0,62.93,49.49,13.12,48.05
114.0,44.96,35.67,5.86,54.8
192.0,39.47,42.8,8.49,50.05
184.0,43.71,47.73,9.34,64.79
153.0,37.86,38.53,8.25,45.36
164.0,44.95,51.75,11.68,40.68
173.0,65.85,74.39,19.6,61.68
108.0,59.85,47.68,10.43,54.86
110.0,55.98,46.0,11.95,53.93
189.0,49.41,51.69,14.45,36.93
162.0,49.12,53.7,13.53,18.93
168.0,48.84,42.58,9.92,13.29
160.0,63.48,59.22,13.92,43.93
157.0,56.67,55.36,11.99,37.3
123.0,59.9,51.49,12.4,23.36
119.0,88.46,44.88,9.37,57.8
193.0,60.12,48.9,11.3,30.55
151.0,73.18,69.43,19.63,39.93
174.0,87.16,83.75,25.62,37.67
163.0,68.4,66.88,16.78,57.61
174.0,82.55,67.12,14.55,59.8
154.0,119.21,88.29,23.04,62.74
120.0,98.88,68.45,15.16,82.8
218.0,58.26,60.34,12.63,43.8
180.0,63.51,71.75,18.99,43.81
219.0,79.59,67.25,14.94,54.61
171.0,76.36,52.46,9.9,58.55
185.0,94.78,70.08,16.37,49.74
117.0,64.72,52.56,10.8,45.24
122.0,64.95,48.06,9.55,56.86
215.0,84.8,50.97,15.84,26.93
168.0,46.79,48.42,8.07,33.61
198.0,45.55,64.18,14.68,17.24
179.0,75.9,53.9,17.81,38.11
163.0,75.74,53.18,13.23,42.18
120.0,53.9,62.61,11.33,53.43
127.0,73.59,65.26,18.47,39.36
219.0,56.33,58.13,10.06,7.28
194.0,68.7,76.7,21.51,28.11
